title,popularity,vote_average,vote_count,release_date,release_year
War Machine,699.9604,7.2,558,2026-02-12,2026
Shelter,309.9837,6.67,274,2026-01-28,2026
The Bluff,225.3583,6.258,233,2026-02-17,2026
Whistle,149.9649,6.125,124,2026-01-20,2026
Hoppers,146.8322,7.766,141,2026-03-04,2026
Mercy,137.3161,7.092,691,2026-01-20,2026
Greenland 2: Migration,135.537,6.484,577,2026-01-07,2026
Return to Silent Hill,116.5518,5.056,258,2026-01-21,2026
Hellfire,121.4965,6.913,52,2026-02-05,2026
Vanaveera,114.9717,7.0,3,2026-02-13,2026
Zootopia 2,130.2195,7.618,2020,2025-11-26,2025
The Wrecking Crew,115.0917,6.895,764,2026-01-28,2026
Scream 7,101.1965,5.955,277,2026-02-25,2026
Your Heart Will Be Broken,106.2229,0.0,0,2026-03-26,2026
The Shadow's Edge,101.5703,7.2,486,2025-08-16,2025
Avatar: Fire and Ash,107.9615,7.266,1880,2025-12-17,2025
Demon Slayer: Kimetsu no Yaiba Infinity Castle,102.5936,7.7,760,2025-07-18,2025
Cold Storage,101.3945,6.523,129,2026-01-22,2026
The Bride!,84.8007,6.266,137,2026-03-04,2026
War of the Worlds,92.7311,4.159,916,2025-07-29,2025
